abbreviation,count1,alcoholRelated,count2,artist,count3,brand,count4,crewOrLabel,count5,cultureRelated,count6,importedWord,count7,interjection,count8,place,count9,slang,count10
gon / gonna,64,martini blue,14,2 chainz,49,gucci,138,fanxy child,8,rap / rapper(s) / rapstar,34,izakaya,4,yea / yeah / yeh,1151,california,4,gang(s),153
gotta,44,merlot,14,ash island,6,fila,16,iab,8,hyperreal,23,dejavu,13,ay / ayy / aye / ayye,248,compton,3,bitch(es),85
im / imma,29,liquor / liquor's,12,goosebumps,4,burberry,9,cozyboys,5,god,14,adios,4,eh / ey,227,seoul,14,giddy,50
cus / cuz,16,sober,8,gray,4,bentley,4,dickids,3,facebook,12,amor,2,da,210,malibu,4,bust,46
wanna,161,soju,7,coogie,2,i8,2,damoim,2,dali,3,hola,2,em / emm,153,seattle,2,boogie,30
,,whiskey,2,groovy room,2,rollie(s),68,dpr,44,movie,35,,,huh,78,,,bang / banger,18
,,drink / drinkin' / drunk / drunken,72,nafla,15,nike(s),25,bition,22,k-town,28,,,ah / aah,56,,,hunnit,13
,,,,simon dominic,15,prada,10,illionaire / illy,21,rock / rockstar / rockin',28,,,ha / hah,37,,,dope,11
,,,,justhis,8,porsche,5,ambition / ambitious,18,valhalla,17,,,hay / hey / heh,36,,,homie(s),8
,,,,kid milli,8,supreme,5,h1ghr,14,instagram,7,,,brr / brrr / brrrr,14,,,damn,7
,,,,young b,6,ksubi,3,1llionaire / 1lly,4,picasso,6,,,bye,9,,,hustle,7
,,,,jessi,3,raf simons,3,aomg,3,pinochio,6,,,ya / yah,256,,,doggo,6
,,,,owen ovadoz,3,sriracha,3,indigo,32,van gogh,4,,,oh,239,,,dick,5
,,,,rihanna,3,mercedes,2,mkit rain,4,xanny,3,,,la,152,,,doggy,5
,,,,jvcki wai,2,patek,2,jmim,2,nasa,2,,,ooh / oooh / oops,147,,,churpin',4
,,,,loco,2,off white,2,koz,2,nba,2,,,uh,118,,,flex / flexin',3
,,,,loopy,2,zipper,2,,,villain,2,,,woo,90,,,fuck / fuckin' / fucking,3
,,,,mino,2,,,,,,,,,whoa / whoo,80,,,shit,59
,,,,the quiett,2,,,,,,,,,na / nah,63,,,shawty,37
,,,,,,,,,,,,,,yo,63,,,motherfuckin' / motherfucka(s) / motherfucker(s) / muthafucka,36
,,,,,,,,,,,,,,yuh / yup,53,,,okey dokey,35
,,,,,,,,,,,,,,mmm / mmmm,17,,,skr / skrt,16
,,,,,,,,,,,,,,um / umm,17,,,y'all / yall,12
,,,,,,,,,,,,,,woah / wow,13,,,thang,8
